params,trades,net,win_rate,expectancy
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",31,26.31000000000001,35.483870967741936,0.8487096774193551
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",31,26.31000000000001,35.483870967741936,0.8487096774193551
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",31,26.31000000000001,35.483870967741936,0.8487096774193551
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",31,26.31000000000001,35.483870967741936,0.8487096774193551
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",31,15.060000000000034,32.25806451612903,0.4858064516129043
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",31,15.060000000000034,32.25806451612903,0.4858064516129043
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",31,15.060000000000034,32.25806451612903,0.4858064516129043
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",31,15.060000000000034,32.25806451612903,0.4858064516129043
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",31,15.060000000000034,32.25806451612903,0.4858064516129043
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",31,15.060000000000034,32.25806451612903,0.4858064516129043
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",31,8.920000000000048,32.25806451612903,0.2877419354838725
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",31,8.920000000000048,32.25806451612903,0.2877419354838725
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",31,8.920000000000048,32.25806451612903,0.2877419354838725
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",31,8.920000000000048,32.25806451612903,0.2877419354838725
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",31,8.920000000000048,32.25806451612903,0.2877419354838725
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",31,8.920000000000048,32.25806451612903,0.2877419354838725
"{'rsi_oversold': 30, 'keltner_mult': 2.5, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",155,-238.49000000000007,39.35483870967742,-1.538645161290323
"{'rsi_oversold': 30, 'keltner_mult': 2.5, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",155,-238.49000000000007,39.35483870967742,-1.538645161290323
"{'rsi_oversold': 30, 'keltner_mult': 1.5, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",186,-250.54999999999995,38.70967741935484,-1.3470430107526878
"{'rsi_oversold': 30, 'keltner_mult': 1.5, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",186,-259.37,38.70967741935484,-1.394462365591398
"{'rsi_oversold': 30, 'keltner_mult': 2.0, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",183,-279.96000000000004,39.34426229508197,-1.5298360655737706
"{'rsi_oversold': 30, 'keltner_mult': 2.0, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",183,-299.01000000000005,38.79781420765027,-1.6339344262295084
"{'rsi_oversold': 30, 'keltner_mult': 2.5, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",192,-331.88000000000005,29.166666666666668,-1.7285416666666669
"{'rsi_oversold': 30, 'keltner_mult': 2.5, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",192,-331.88000000000005,29.166666666666668,-1.7285416666666669
"{'rsi_oversold': 30, 'keltner_mult': 1.5, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",233,-353.09,30.472103004291846,-1.5154077253218883
"{'rsi_oversold': 30, 'keltner_mult': 2.0, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",229,-353.91999999999996,30.567685589519648,-1.5455021834061133
"{'rsi_oversold': 30, 'keltner_mult': 1.5, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",233,-361.9099999999999,30.472103004291846,-1.5532618025751068
