symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
TECH,15M_STK,59.65,2.1,5.27,0.0,True,True
IONS,15M_STK,79.65,2.1,5.93,0.0,True,True
DG,15M_STK,136.81,2.1,23.39,0.0,True,True
WSO,15M_STK,347.38,2.1,8.3,0.0,True,True
STM,15M_STK,27.39,2.1,7.06,0.0,True,True
PGR,15M_STK,212.12,2.09,25.72,0.0,True,True
CNM,15M_STK,53.4,2.08,7.35,0.0,True,True
DAL,15M_STK,69.05,2.08,26.65,0.0,True,True
UBER,15M_STK,82.84,2.08,68.85,0.0,True,True
NTAP,15M_STK,106.44,2.07,7.11,0.0,True,True
BJ,15M_STK,91.97,2.07,8.48,0.0,True,True
BLD,15M_STK,431.7,2.07,6.21,0.0,True,True
FLUT,15M_STK,218.26,2.07,16.86,0.0,True,True
CHTR,15M_STK,209.21,2.06,12.07,0.0,True,True
BKR,15M_STK,47.14,2.05,14.61,0.0,True,True
TXRH,15M_STK,171.28,2.05,6.0,0.0,True,True
NFLX,15M_STK,90.98,2.04,182.39,0.0,True,True
FIVE,15M_STK,193.33,2.04,11.25,0.0,True,True
AYI,15M_STK,373.01,2.04,5.23,0.0,True,True
CW,15M_STK,572.58,2.04,5.13,0.0,True,True
PHM,15M_STK,119.02,2.04,8.42,0.0,True,True
PSX,15M_STK,130.54,2.04,18.54,0.0,True,True
SN,15M_STK,113.86,2.04,8.18,0.0,True,True
INTU,15M_STK,629.36,2.03,44.98,0.0,True,True
UNH,15M_STK,336.46,2.03,45.5,0.0,True,True
HPE,15M_STK,24.16,2.03,32.43,0.0,True,True
CNQ,15M_STK,34.33,2.02,13.34,0.0,True,True
RL,15M_STK,362.52,2.02,10.05,0.0,True,True
HUBB,15M_STK,462.7,2.01,12.09,0.0,True,True
MANH,15M_STK,167.34,2.0,5.29,0.0,True,True
EOG,15M_STK,107.28,2.0,15.18,0.0,True,True
C,15M_STK,118.68,1.99,57.96,0.0,True,True
VIK,15M_STK,72.26,1.99,5.65,0.0,True,True
PYPL,15M_STK,58.15,1.99,40.34,0.0,True,True
DXCM,15M_STK,66.54,1.99,11.01,0.0,True,True
GOOGL,15M_STK,315.24,1.98,254.12,0.0,True,True
WWD,15M_STK,310.61,1.98,8.19,0.0,True,True
WYNN,15M_STK,122.54,1.98,7.13,0.0,True,True
CTRA,15M_STK,26.61,1.98,9.82,0.0,True,True
STLD,15M_STK,176.03,1.97,8.49,0.0,True,True
PANW,15M_STK,179.35,1.97,28.88,0.0,True,True
H,15M_STK,165.55,1.97,7.32,0.0,True,True
ATI,15M_STK,119.22,1.97,9.58,0.0,True,True
CARR,15M_STK,53.51,1.97,21.47,0.0,True,True
CRM,15M_STK,253.66,1.97,62.69,0.0,True,True
TEL,15M_STK,233.13,1.97,17.89,0.0,True,True
JHX,15M_STK,20.8,1.97,6.45,0.0,True,True
GOOG,15M_STK,315.33,1.96,131.74,0.0,True,True
ACN,15M_STK,259.74,1.96,42.34,0.0,True,True
