symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
MEDP,15M_STK,569.91,1.66,8.63,561.28,True,True
WY,15M_STK,23.82,1.65,7.36,23.23,True,True
CCK,15M_STK,104.18,1.64,7.04,100.69,True,True
TTWO,15M_STK,251.66,1.62,14.11,248.57,True,True
EQIX,15M_STK,763.93,1.62,18.14,753.11,True,True
AJG,15M_STK,255.92,1.62,17.28,252.52,True,True
MS,15M_STK,181.95,1.61,31.05,178.26,True,True
GLPI,15M_STK,44.41,1.61,5.5,43.85,True,True
SCHW,15M_STK,101.59,1.61,42.62,98.02,True,True
IP,15M_STK,40.25,1.6,7.94,39.04,True,True
REGN,15M_STK,776.51,1.59,22.57,752.68,True,True
CHRW,15M_STK,163.75,1.58,12.79,160.7,True,True
FOXA,15M_STK,73.76,1.58,11.43,71.81,True,True
LHX,15M_STK,304.48,1.58,10.58,288.9,True,True
WMB,15M_STK,60.85,1.57,25.43,60.16,True,True
UBS,15M_STK,47.06,1.57,5.36,44.41,True,True
MAR,15M_STK,313.42,1.56,19.74,304.72,True,True
ALLY,15M_STK,45.78,1.56,6.34,44.89,True,True
HLT,15M_STK,292.93,1.56,19.14,284.6,True,True
DD,15M_STK,40.87,1.55,6.51,40.79,True,True
ES,15M_STK,68.05,1.55,7.33,67.36,True,True
IFF,15M_STK,68.01,1.55,5.72,65.97,True,True
RIO,15M_STK,81.46,1.54,10.05,77.72,True,True
MSCI,15M_STK,565.03,1.54,18.3,560.93,True,True
XOM,15M_STK,122.65,1.53,95.3,118.47,True,True
INVH,15M_STK,27.72,1.53,8.35,27.12,True,True
LOW,15M_STK,246.88,1.53,21.35,245.12,True,True
MSI,15M_STK,380.68,1.53,26.64,373.46,True,True
MNST,15M_STK,76.14,1.52,17.99,75.45,True,True
FWONK,15M_STK,98.05,1.52,6.92,95.49,True,True
DIS,15M_STK,111.86,1.52,37.8,111.06,True,True
LNG,15M_STK,197.64,1.52,17.76,193.66,True,True
ABBV,15M_STK,229.3,1.51,33.75,226.67,True,True
WFC,15M_STK,95.2,1.51,62.1,92.69,True,True
RTX,15M_STK,187.22,1.5,28.52,179.9,True,True
AIG,15M_STK,84.25,1.5,20.41,83.68,True,True
MU,WK_OPT,315.38,4.9,120.25,184.09,True,True
COHR,WK_OPT,194.31,4.79,36.22,127.76,True,True
STX,WK_OPT,287.53,4.43,36.58,220.82,True,True
CIEN,WK_OPT,245.99,4.37,31.65,153.85,True,True
VRT,WK_OPT,175.58,4.32,48.09,155.84,True,True
AVGO,WK_OPT,347.53,4.08,316.48,336.75,True,True
CEG,WK_OPT,366.16,4.02,34.96,345.34,True,True
LULU,WK_OPT,210.76,3.63,33.03,187.28,True,True
LRCX,WK_OPT,185.07,3.55,58.63,133.51,True,True
SHOP,WK_OPT,157.17,3.53,33.83,150.65,True,True
AMD,WK_OPT,223.37,3.39,140.19,197.21,True,True
MRVL,WK_OPT,89.36,3.38,51.34,81.18,True,True
NEM,WK_OPT,101.23,3.29,30.22,81.76,True,True
