model,period,feature,mean_winners,mean_losers,median_winners,median_losers,corr_with_return,q1_expectancy,q2_expectancy,q3_expectancy,q4_expectancy,q5_expectancy,q1_n,q2_n,q3_n,q4_n,q5_n,q5_minus_q1,dev_quintile_edges
A_full_hypothesis,oos,sig_ret_20d,0.0446547459278296,0.03802702510874542,0.04076673465457503,0.03479384787726181,0.07366311236261831,-0.0009746479937514716,0.005313236055173004,0.0024615495607787823,-0.0027145340795203614,0.01447727442027712,262.0,199.0,172.0,178.0,163.0,0.015451922414028593,0.01561 / 0.03362 / 0.05099 / 0.07504
A_full_hypothesis,oos,reg_vix,16.63963946229508,16.344843091180866,15.98,15.97,-0.012009829009549305,0.0050748905411718784,0.003090541541748744,-0.005248781014869782,0.020921691397099443,-0.015791094888726695,542.0,193.0,185.0,43.0,11.0,-0.02086598542989857,16.33 / 18.31 / 21.86 / 25.34
A_full_hypothesis,oos,reg_vix_pct,40.264116575591984,37.45580942890359,33.33333333333333,31.746031746031743,0.005477345284690339,-0.004478036156311006,0.006720325610512658,0.008881469616079829,0.0035068280326749426,0.0023485869542647754,179.0,212.0,139.0,174.0,270.0,0.006826623110575782,6.746 / 20.63 / 35.71 / 62.62
A_full_hypothesis,oos,reg_vix_roc5,-0.000665809087810604,-0.006348839792723867,-0.0039371201385196,-0.0144590478330666,0.0198054228713966,-0.0032805068278363506,0.0068980080503036785,-0.00026514895824230266,0.005390208396823579,0.004706581784637767,172.0,182.0,136.0,247.0,237.0,0.007987088612474116,-0.1079 / -0.04725 / -0.009359 / 0.06671
A_full_hypothesis,oos,reg_pct_above_50,60.16132223309829,60.96047081236498,61.44578313253012,62.398373983739845,0.023003387407766782,0.0019710143620492756,0.001537397897185808,0.01070338754245766,0.004339269095320278,-0.002491106285808375,348.0,266.0,159.0,118.0,83.0,-0.004462120647857651,55.41 / 66.08 / 73.74 / 80.57
A_full_hypothesis,oos,reg_pct_above_200,64.48277476455061,66.07577717078999,66.73427991886409,66.80244399185335,-0.024148676289614323,0.008117304835111938,0.0018941586596958522,0.004506494682431519,-0.028877654161940436,,136.0,668.0,169.0,1.0,0.0,,54.92 / 75.91 / 85.09 / 91.08
A_full_hypothesis,oos,reg_market_state=BEARISH,0.04918032786885246,0.04484304932735426,,,,,,,,,,,,,,,
A_full_hypothesis,oos,reg_market_state=BULLISH,0.8950819672131147,0.9177877428998505,,,,,,,,,,,,,,,
A_full_hypothesis,oos,reg_market_state=MIXED,0.05573770491803279,0.03736920777279522,,,,,,,,,,,,,,,
A_full_hypothesis,oos,reg_vol_regime=HIGH,0.003278688524590164,0.0029895366218236174,,,,,,,,,,,,,,,
A_full_hypothesis,oos,reg_vol_regime=LOW,0.4131147540983607,0.45440956651718983,,,,,,,,,,,,,,,
A_full_hypothesis,oos,reg_vol_regime=NORMAL,0.5016393442622951,0.4798206278026906,,,,,,,,,,,,,,,
A_full_hypothesis,oos,reg_vol_regime=SHOCK,0.08196721311475409,0.06278026905829596,,,,,,,,,,,,,,,
A_full_hypothesis,oos,reg_breadth_state=NEUTRAL,0.4,0.3602391629297459,,,,,,,,,,,,,,,
A_full_hypothesis,oos,reg_breadth_state=STRONG,0.521311475409836,0.5530642750373692,,,,,,,,,,,,,,,
A_full_hypothesis,oos,reg_breadth_state=WEAK,0.07868852459016394,0.08669656203288491,,,,,,,,,,,,,,,
