period,model,dimension,value,share_of_days,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,sig_fwd10,all_days_fwd10
dev,A_full_hypothesis,mkt_x_vix,SPY>SMA200 & VIX low/normal,0.4722222222222222,549,0.3151183970856102,0.054512958135789706,-0.023695081646144686,-0.015044640866570758,0.000949710489146115,0.42429566627420534,1.058521779662646,0.5213910585412171,0.03133072096944044,10.994535519125684,0.04814708268604626,-0.021138636184115284,0.043944894007781926,0.7961974462827714,0.0035369090468834233,0.001053286386206373
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY<SMA200 & VIX high/shock & breadth NEUTRAL,0.03968253968253968,15,0.3333333333333333,0.06324655116256203,-0.021293479841007455,-0.008862156160178492,0.0068865304935157075,0.516273770572032,1.4851154352131872,0.10329795740273562,0.11639410110877163,11.733333333333333,0.061744152379451536,-0.021169401112514922,0.052751572607376,0.79526226249149,-0.013159320072245078,0.0006308076670154153
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY<SMA200 & VIX high/shock & breadth STRONG,0.023809523809523808,8,0.25,0.12426934849607751,-0.024303696953099585,-0.02263654019920308,0.01283956440919469,0.3794104436359909,1.7043956828994387,0.10271651527355752,-0.17388690622024766,8.0,0.047320467549362394,-0.021885637644362396,0.08991122985226774,0.26474327329311664,-0.020096213678465445,0.038351409328430966
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY<SMA200 & VIX high/shock & breadth WEAK,0.18386243386243387,48,0.3958333333333333,0.08267786865940825,-0.03294409185130916,-0.014735912359172099,0.012822934184183154,1.196484946260122,1.644248049736454,0.6155008408407914,0.4376026839907983,12.833333333333334,0.07650266965045581,-0.02669820143523007,0.06032345847707909,0.6390695049075491,0.01429090622928869,0.013841092908632922
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY<SMA200 & VIX low/normal & breadth NEUTRAL,0.031746031746031744,5,0.2,0.01979296005200548,-0.013403873150870854,-0.0057272608283522874,-0.006764506510295587,-0.7645738846054593,0.3691649389176651,-0.033822532551477935,-0.23439382362466402,4.8,0.034111188268203474,-0.01847757353144668,0.037043341928729795,1.168516708748588,-0.0376603466947709,-0.023269338771541227
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY<SMA200 & VIX low/normal & breadth STRONG,0.06349206349206349,22,0.3181818181818182,0.034238125789216846,-0.024630075888745172,-0.011324811821654623,-0.005899284445757259,-0.7498827309878726,0.648710629522217,-0.1297842578066597,-0.1489355218704463,9.363636363636363,0.04007167626932698,-0.025397038730976953,0.04566672582948982,0.9100951129920342,-0.01799638635644528,-0.010940766463360788
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY<SMA200 & VIX low/normal & breadth WEAK,0.005291005291005291,2,0.5,0.009686728528760513,-0.018687790669035365,-0.004500531070137426,-0.004500531070137426,-0.3172234242113273,0.5183453036431367,-0.009001062140274851,-0.1272861092767838,14.0,0.0209342960446387,-0.032557335281422295,0.021920793204471822,0.6720518029478794,-0.0024101729796398574,-0.02676497196109299
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY>SMA200 & VIX high/shock & breadth NEUTRAL,0.05291005291005291,25,0.32,0.020810942363290313,-0.01976542496178124,-0.013460741332078974,-0.006780987417758344,-1.4552522431710266,0.49548060112469305,-0.1695246854439586,-0.22323707405218374,8.32,0.03868015558823882,-0.025022736124895615,0.04087674338689198,0.9412858599251146,0.01883420817611298,0.027133650014059
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY>SMA200 & VIX high/shock & breadth STRONG,0.09523809523809523,75,0.32,0.08527494647188634,-0.027937051081269808,-0.018929315895787835,0.008290788135740157,1.0106813051010257,1.4364217060085414,0.6218091101805118,0.1213946707947064,10.88,0.06492141746812953,-0.02463380028984415,0.056325640319827244,0.6768764706090192,0.004561179824186385,0.003494991412778546
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY>SMA200 & VIX high/shock & breadth WEAK,0.031746031746031744,6,0.6666666666666666,0.025847391661811325,-0.02441899215341259,0.00410020735836214,0.009091930390070021,0.6220467716582976,2.1169908650958895,0.054551582340420124,0.5096369679904357,12.666666666666666,0.0542908596362747,-0.02096231645456692,0.02793292259097156,0.7344111142425013,0.013201919730365785,-0.006586157013677942
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY>SMA200 & VIX low/normal & breadth NEUTRAL,0.10582010582010581,103,0.3300970873786408,0.053447067660087534,-0.02369462493937999,-0.013813038882991902,0.001769623103162685,0.36873802401751915,1.1114856768436838,0.18227117962575656,0.1650829977918347,11.883495145631068,0.04441390789924685,-0.019508770358844886,0.03680240205093884,0.7605363093802447,0.0026793967247189837,-0.0005787052025329325
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY>SMA200 & VIX low/normal & breadth STRONG,0.3505291005291005,441,0.30612244897959184,0.052496613851596756,-0.023651249651357377,-0.01625746321768351,-0.00034067919126937657,-0.13983877364457503,0.9792408924807794,-0.15023952334979507,-0.029265839725644893,10.65079365079365,0.047398694687591655,-0.021621927097556812,0.04516965134387385,0.8216871809927014,0.0034022467695995545,0.0004056748540455421
dev,A_full_hypothesis,mkt_x_vix_x_breadth,SPY>SMA200 & VIX low/normal & breadth WEAK,0.015873015873015872,5,0.8,0.13162464677077007,-0.03713918481782463,0.04063639319553869,0.09787188045305113,1.7052449324686552,14.17636358109809,0.48935940226525565,2.620650471734643,23.0,0.19105830475781094,-0.012087613619142434,0.07935039287295013,0.44498701136386726,0.048206957856408425,0.026234651646353423
dev,C_breakout,market_state,BEARISH,0.3478835978835979,11,0.18181818181818182,0.2729193835036573,-0.04207378137171633,-0.04574788138199537,0.015197703151078873,0.3006345737269126,1.4414856452734273,0.1671747346618676,-0.15894089926852883,19.454545454545453,0.10309383252718325,-0.03586807795068252,0.09179645495282351,0.635055742713699,-0.013301567035639077,0.006642009069405195
dev,C_breakout,market_state,BULLISH,0.5873015873015873,92,0.3804347826086957,0.11059221537773527,-0.03231027527235496,-0.022906032694707534,0.022054802692353284,2.1829678465199014,2.101730799200019,2.029041847696502,0.5383696432134049,20.315217391304348,0.09639668949575543,-0.026602217513424276,0.07278402678869052,0.646953834087865,0.016108989123206196,0.004137659635391657
dev,C_breakout,market_state,MIXED,0.06481481481481481,10,0.1,0.08243855290976865,-0.037472700775523865,-0.038180585791604604,-0.025481575406994618,-1.9715499109622878,0.2444403264944135,-0.25481575406994617,-0.5783264797247382,9.7,0.03857972969595767,-0.03439363036573455,0.053370039283017645,1.7693743611490662,-0.020021079647381347,-0.0057587760057974625
dev,C_breakout,spy_trend,SPY<SMA200,0.3478835978835979,11,0.18181818181818182,0.2729193835036573,-0.04207378137171633,-0.04574788138199537,0.015197703151078873,0.3006345737269126,1.4414856452734273,0.1671747346618676,-0.15894089926852883,19.454545454545453,0.10309383252718325,-0.03586807795068252,0.09179645495282351,0.635055742713699,-0.013301567035639077,0.006642009069405195
dev,C_breakout,spy_trend,SPY>SMA200,0.6521164021164021,102,0.35294117647058826,0.10981016919806955,-0.03301424238642344,-0.023960034193080848,0.01739437346692702,1.871463032711359,1.8142611066201892,1.774226093626556,0.42888963116064555,19.274509803921568,0.09072836010361839,-0.027366081518552732,0.07057230669310753,0.6843559840863199,0.012732347182029792,0.0031540382430625146
dev,C_breakout,vol_regime,HIGH,0.25132275132275134,14,0.2857142857142857,0.23313606179522567,-0.041473287075727984,-0.042525468138818856,0.03698652688740163,0.8678857463173449,2.2485419240537343,0.5178113764236228,0.596205837849828,29.857142857142858,0.12795909611240183,-0.03807285869068739,0.08067743301808203,0.5343269184248468,0.027747720578367552,0.01317686422447093
dev,C_breakout,vol_regime,LOW,0.2619047619047619,74,0.33783783783783783,0.08005443342795729,-0.031483838560728956,-0.02412288078573016,0.006198010084097477,0.7895296694752529,1.2973036502188071,0.4586527462232133,0.030052465770654097,16.83783783783784,0.07463506583086071,-0.025768754680490568,0.06894617354250408,0.7687722433202084,0.006107518299797202,0.0041473378908414476
dev,C_breakout,vol_regime,NORMAL,0.31084656084656087,22,0.36363636363636365,0.19171614954641572,-0.03971080600279442,-0.030147707742922247,0.044444450560554724,1.3891968750380754,2.758747466555718,0.9777779123322039,1.4598154966881638,20.136363636363637,0.12176311941289714,-0.030921972971467402,0.06973414127313741,0.5402264530009626,0.007119213087351675,-0.005910974940156408
dev,C_breakout,vol_regime,SHOCK,0.17592592592592593,3,0.3333333333333333,0.031370578886657396,-0.02210589278863684,-0.0029199919059984536,-0.004280402230205427,-0.2039564306219964,0.7095524072835211,-0.01284120669061628,-0.22943754587785467,24.333333333333332,0.1317046814090118,-0.021899299650559294,0.12099034258653607,1.0279015522860397,0.04839292827505189,0.009838157319750853
dev,C_breakout,vix_state2,VIX high/shock,0.42724867724867727,17,0.29411764705882354,0.19278296521351201,-0.03824538802787946,-0.04129179367127522,0.029704127631353328,0.843394119666055,2.100285541542295,0.5049701697330066,0.4505040642508251,28.88235294117647,0.12862008175298006,-0.03521870121301773,0.08998041214926372,0.6278801248045226,0.031007490214686132,0.011802102557821489
dev,C_breakout,vix_state2,VIX low/normal,0.5727513227513228,96,0.34375,0.10712394036576539,-0.03331205354785462,-0.02450383367225345,0.01496281935995226,1.5678956478782493,1.684451548775959,1.436430658555417,0.35770649368925017,17.59375,0.08543524477674407,-0.026949700538839428,0.06915126103403878,0.6919402552017745,0.006332339363698196,-0.0013823506797545294
dev,C_breakout,vix_level_bucket,15-20,0.2605820105820106,49,0.32653061224489793,0.08142063175022787,-0.032713137248903755,-0.02456033017299941,0.0045550322202004495,0.4525833833363274,1.2067527990097409,0.22319657878982202,0.027524363897938775,17.551020408163264,0.07261006944773306,-0.026016650735282004,0.06902783714360987,0.7957311298574169,0.004938531830796233,-0.00288290326769832
dev,C_breakout,vix_level_bucket,20-25,0.30687830687830686,41,0.3170731707317073,0.16143503544888452,-0.03473342633477969,-0.028418733597585177,0.027466329840528474,1.4670464991182097,2.157920730932126,1.1261195234616674,0.7224006268903774,17.26829268292683,0.10316897727491996,-0.030370328248210517,0.07180824642334982,0.6059165285979851,0.0037064600299485553,0.0030461092287745006
dev,C_breakout,vix_level_bucket,25-30,0.2261904761904762,14,0.21428571428571427,0.13935868635341517,-0.04145678767532319,-0.042525468138818856,-0.0027106146691649696,-0.12424670126522117,0.9167838752409083,-0.037948605368309574,0.05613912394710537,21.642857142857142,0.08548818227484692,-0.040877502400620346,0.07859502212906647,0.8426171882673353,0.02464541161087975,0.005325759094696988
dev,C_breakout,vix_level_bucket,<15,0.0291005291005291,6,0.6666666666666666,0.03342611580777838,-0.023294953463592838,0.01890920817415509,0.014519092717321306,1.0465339003675727,2.8698160620942477,0.08711455630392784,0.5621173101105905,20.166666666666668,0.0689936712261322,-0.011195317920522621,0.05303520655353646,0.69747460614251,0.036355513429471076,-0.026477178521019506
dev,C_breakout,vix_level_bucket,>=30,0.17724867724867724,3,0.6666666666666666,0.2729193835036573,-0.0029199919059984536,0.031370578886657396,0.18097292503377205,1.0834029841242674,186.93160275068368,0.5429187751013161,2.290873785668184,62.666666666666664,0.32990227931760135,-0.008810962337538827,0.12793171221658792,0.412568220777507,0.054865284978960066,0.02086016466989983
