period,model,grouping,group,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,tickers,median_ticker_cagr,median_ticker_max_dd,median_ticker_sharpe,median_bh_cagr,pct_tickers_profitable
oos,FINAL,bucket,Semiconductors,283,0.3745583038869258,0.14261143924673092,-0.037465878591852415,-0.016219984689241018,0.02998357614627421,2.7639486592690883,2.2795600660865354,8.485352049395601,0.507633510749993,10.282685512367491,0.11081789902989583,-0.03366350517753706,0.08061613495557833,0.5777878067427141,8,0.19045188147541303,-0.3557169561039984,0.6867245096953469,0.5975382176450964,0.75
oos,FINAL,bucket,Software,228,0.32894736842105265,0.05907189083564821,-0.02608324069351297,-0.012177787466324586,0.0019283157305532014,0.4872052287678356,1.110169153189718,0.4396559865661299,0.07340315781270759,9.837719298245615,0.05227229884912817,-0.02355192652165924,0.04587766486857539,0.7777116560775734,8,0.03267886366081374,-0.2909659204935573,0.27810889457220767,0.1642984045332182,0.625
oos,FINAL,bucket,Tech Hardware & IT Services,135,0.4148148148148148,0.09833583855996401,-0.02330872042147779,-0.007880359491600264,0.027151244785638812,2.9088511055685213,2.9905724529962705,3.6654180460612396,0.6295137050626077,13.496296296296297,0.08788141689990833,-0.020582428598800852,0.06053867259916232,0.5687223763172247,5,0.09106856789181106,-0.17014450071440546,0.5662771308176979,0.2899256919760873,0.8
oos,FINAL,bucket,Transportation,106,0.3018867924528302,0.06627902840428036,-0.02472236354906477,-0.011969388178141638,0.002749754776473384,0.43816885762705376,1.1593228703735923,0.2914740063061787,0.054624591892958076,10.150943396226415,0.05357038120654654,-0.024086501581361754,0.050404742439645725,0.7245890120770142,4,0.01432740698363777,-0.2665779472095422,0.16842396304511503,0.1717025088601697,0.75
oos,FINAL,bucket,Utilities,84,0.27380952380952384,0.04473652690022152,-0.016404078146752557,-0.00821409751286295,0.00033680180658558436,0.08566627359491373,1.0282730091592156,0.028291351753189087,0.02791886137948263,9.976190476190476,0.03729730564786075,-0.01677626158479514,0.02996510891170734,0.8685875308114057,3,0.0026340472467962783,-0.18025731443867699,0.07565890909954173,0.0563166428942119,0.6666666666666666
oos,SPY_only,bucket,Biotech,125,0.256,0.06363564472546387,-0.022364625658322576,-0.014407909507142658,-0.00034855644007324307,-0.07447067629745857,0.9790521940333132,-0.04356955500915538,0.015235213100959873,9.448,0.047214073862971336,-0.022398867054884874,0.04457024230004759,0.8072530561072427,4,-0.008856112844721598,-0.2208724370313831,0.009031463241300622,0.16695747564437802,0.5
oos,SPY_only,bucket,Communication/Internet,216,0.3194444444444444,0.07477962581213649,-0.02257564985382579,-0.009267351306534333,0.008523952095023272,1.762586497050889,1.5548008989597715,1.8411736525250268,0.21491732972801772,10.402777777777779,0.05582376680752533,-0.020987046085191294,0.045682163305625856,0.656077657481577,8,0.021790898434914996,-0.2111109237589741,0.23253118533682354,0.13683354141856507,0.625
oos,SPY_only,bucket,Consumer Discretionary,324,0.29012345679012347,0.051314139001097006,-0.02231846100492068,-0.012802765733712362,-0.0009559165587303631,-0.35047878260953114,0.9396645001719598,-0.30971696502863766,-0.017706471955398286,8.737654320987655,0.04241361544529357,-0.02147934171671685,0.042065460784186895,0.7776272882582516,10,-0.030669511358753176,-0.23475234586006644,-0.0892644297024274,0.027308403665615488,0.2
oos,SPY_only,bucket,Consumer Staples,224,0.32142857142857145,0.04719138448016709,-0.01591045038338941,-0.00823624988761551,0.0043722822513251785,1.4467817088327974,1.404976802194693,0.9793912242968399,0.21264618259042697,10.5,0.03805408530419684,-0.015379146415515355,0.03252582393019403,0.7084741688975149,7,0.03765846973853204,-0.2021562120038637,0.35440760423426315,0.2038393538533616,0.5714285714285714
oos,SPY_only,bucket,Energy,203,0.2512315270935961,0.07010047970067478,-0.025537680482013356,-0.01823303969660539,-0.001510359450894667,-0.3422797836005085,0.9210137821877808,-0.3066029685316174,-0.06133834023066267,8.152709359605911,0.04879433525447503,-0.024340473534372853,0.04748689563924695,0.8324586393015201,7,-0.04273135252964888,-0.3179418035954946,-0.20426322689076548,0.0648909604090182,0.2857142857142857
oos,SPY_only,bucket,Financials,394,0.3680203045685279,0.048139530950918566,-0.020536224549032332,-0.008656024332063972,0.004737847906533354,1.920582228857856,1.3650542301663182,1.8667120751741417,0.1428111859470205,11.101522842639595,0.04522581550692516,-0.018847436371020338,0.03770598223505373,0.6690439925357442,12,0.027684147519151048,-0.17162051000753503,0.2913503052370562,0.2130302902841138,0.75
oos,SPY_only,bucket,Healthcare,236,0.288135593220339,0.058084650111109214,-0.021272697046932947,-0.011085629176205314,0.0015929792528419128,0.4692921007883916,1.1051938343563743,0.3759431036706914,0.027232218540389073,8.90677966101695,0.042277023472904754,-0.01943251672296878,0.037576670722293995,0.728313479682144,9,0.013095037541172028,-0.21111467195421663,0.1640432023649595,0.02471752684626094,0.5555555555555556
oos,SPY_only,bucket,Industrials,273,0.24175824175824176,0.07440783955039945,-0.02161291381565946,-0.014071167349874347,0.0016008946904207154,0.44312030383174167,1.0976881182971083,0.4370442504848553,0.07361785034900291,8.97069597069597,0.044467194137217496,-0.02128245559347849,0.040443295290898275,0.7175629511473617,8,-0.01412328319735534,-0.3015349640467157,0.007461001396309785,0.14273916913640716,0.5
oos,SPY_only,bucket,Materials,150,0.26666666666666666,0.06678101833043415,-0.02746582573052346,-0.01374684814482402,-0.0023333339809347596,-0.42173575415915404,0.8841535260534692,-0.35000009714021396,-0.04885935998438889,8.02,0.04709783913988725,-0.026195391372141306,0.04823923253039222,0.8286191241093758,4,-0.043988864117129656,-0.36232613292414,-0.07032008704551237,0.16086236630786566,0.25
oos,SPY_only,bucket,Real Estate,63,0.3333333333333333,0.04377897716980507,-0.01875450222824051,-0.008528597592564191,0.0020899909044413507,0.39892725930297507,1.1671591342979697,0.1316694269798051,0.05572624803854888,10.26984126984127,0.040867692762507964,-0.017639489253966915,0.036443138170151386,0.7688833642233908,3,0.015843964177834957,-0.14491633973685403,0.23142570715738298,-0.02226555989950063,0.6666666666666666
oos,SPY_only,bucket,Semiconductors,281,0.3736654804270463,0.13497930724763557,-0.03741293833882039,-0.015691964304929473,0.027004092930140028,2.678497299315255,2.1523951658127647,7.588150113369348,0.4825300904592338,10.177935943060499,0.10745953878315886,-0.033518507383180865,0.08022299699723276,0.5937443009540548,8,0.18171359184852598,-0.34427200177211537,0.6650303391039318,0.5975382176450964,0.75
oos,SPY_only,bucket,Software,228,0.32456140350877194,0.05833774540266498,-0.0259397036214636,-0.012177787466324586,0.0014135035179465548,0.36133330008978953,1.08067630704813,0.3222788020918145,0.059811045712780404,9.763157894736842,0.05172974277250099,-0.023595162217171294,0.04584659522391235,0.7868731098464137,8,0.02172210460954538,-0.29096592049355735,0.22778978374919562,0.1642984045332182,0.625
oos,SPY_only,bucket,Tech Hardware & IT Services,131,0.42748091603053434,0.0916117049373668,-0.02318391579176603,-0.005358392516961574,0.025889021313817463,2.986057531668863,2.9504682025082207,3.391461792110088,0.6333151295454721,13.687022900763358,0.08676794634515629,-0.020679212859847168,0.060470255563109025,0.5767076170755978,5,0.09339924509321573,-0.17014450071440546,0.5861506020061104,0.2899256919760873,0.8
oos,SPY_only,bucket,Transportation,105,0.3047619047619048,0.06618175267111343,-0.025036643538001134,-0.012077539721665476,0.0027632486400147285,0.43580747485782806,1.1587487439782833,0.2901411072015465,0.05536640159059693,10.142857142857142,0.05335995082591551,-0.023964926473862332,0.05020805997127305,0.7211580287288056,4,0.014100462192914054,-0.2693342141935773,0.16844920487360338,0.1717025088601697,0.75
oos,SPY_only,bucket,Utilities,81,0.2839506172839506,0.04473652690022152,-0.016534622742731524,-0.008212525857694497,0.000863358020082304,0.21267999390143774,1.0729211757809398,0.06993199962666663,0.04613067272958546,9.864197530864198,0.037466938362472786,-0.016636525162130388,0.029726113245277484,0.8612517614258995,3,-0.0002431362943690063,-0.19543124410132562,0.05279284156473492,0.0563166428942119,0.3333333333333333
