entry_price,exit_price,premium,exit_premium,cost,pnl,pnl_pct,reason,symbol,entry_time,atr
195.415,194.87796174419933,0.67,0.4,67.13,-26.85,-40.0,SL,NET,2025-11-18 15:30:00+00:00,2.24
194.77,195.03498204733603,0.66,0.79,66.25,13.25,20.0,TP,NET,2025-11-18 15:45:00+00:00,2.21
183.25,182.77183783895367,0.6,0.36,59.77,-23.91,-40.0,SL,NET,2025-11-21 15:30:00+00:00,1.99
747.73,747.9576098476574,0.57,0.68,56.9,11.38,20.0,TP,GS,2025-10-22 14:30:00+00:00,1.9
765.865,766.3220911334445,1.14,1.37,114.27,22.85,20.0,TP,GS,2025-11-07 16:30:00+00:00,3.81
808.0,807.2084970027128,0.99,0.59,98.94,-39.58,-40.0,SL,GS,2025-11-13 20:30:00+00:00,3.3
786.04,786.6907763632449,1.63,1.95,162.69,32.54,20.0,TP,GS,2025-11-14 15:15:00+00:00,5.42
777.06,776.3339880487438,0.91,0.54,90.75,-36.3,-40.0,SL,GS,2025-11-17 19:30:00+00:00,3.03
774.79,774.0640746166907,0.91,0.54,90.74,-36.3,-40.0,SL,GS,2025-11-17 19:45:00+00:00,3.02
771.045,771.4083510708222,0.91,1.09,90.84,18.17,20.0,TP,GS,2025-11-17 20:00:00+00:00,3.03
772.45,772.8099402800492,0.9,1.08,89.99,18.0,20.0,TP,GS,2025-11-17 20:15:00+00:00,3.0
239.245,238.97161914640648,0.34,0.21,34.17,-13.67,-40.0,SL,FSLR,2025-10-28 18:45:00+00:00,1.14
238.89,238.61864834717747,0.34,0.2,33.92,-13.57,-40.0,SL,FSLR,2025-10-28 19:30:00+00:00,1.13
238.21,237.92245917952198,0.36,0.22,35.94,-14.38,-40.0,SL,FSLR,2025-10-28 19:45:00+00:00,1.2
258.15,258.45801601695155,0.77,0.92,77.0,15.4,20.0,TP,FSLR,2025-11-07 14:45:00+00:00,2.57
246.3,246.5807163645831,0.7,0.84,70.18,14.04,20.0,TP,FSLR,2025-11-14 14:45:00+00:00,2.34
256.03,255.65049057928502,0.47,0.28,47.44,-18.98,-40.0,SL,FSLR,2025-12-03 14:45:00+00:00,1.58
255.66,255.28171268076468,0.47,0.28,47.29,-18.91,-40.0,SL,FSLR,2025-12-03 15:00:00+00:00,1.58
253.215,253.42106196964497,0.52,0.62,51.52,10.3,20.0,TP,FSLR,2025-12-03 15:15:00+00:00,1.72
95.695,95.55998104012208,0.17,0.1,16.88,-6.75,-40.0,SL,UAL,2025-10-23 13:45:00+00:00,0.56
95.28,95.14091096582766,0.17,0.1,17.39,-6.95,-40.0,SL,UAL,2025-10-23 14:00:00+00:00,0.58
94.59,94.4412173254114,0.19,0.11,18.6,-7.44,-40.0,SL,UAL,2025-10-23 14:15:00+00:00,0.62
93.98,93.82127323073915,0.2,0.12,19.84,-7.94,-40.0,SL,UAL,2025-10-23 14:30:00+00:00,0.66
96.46,96.35045221845573,0.14,0.08,13.69,-5.48,-40.0,SL,UAL,2025-10-28 14:15:00+00:00,0.46
95.32,95.3754820144787,0.14,0.17,13.87,2.77,20.0,TP,UAL,2025-10-28 19:15:00+00:00,0.46
94.815,94.70193407707242,0.14,0.08,14.13,-5.65,-40.0,SL,UAL,2025-10-28 19:45:00+00:00,0.47
91.0,90.84813760262092,0.19,0.11,18.98,-7.59,-40.0,SL,UAL,2025-11-04 18:45:00+00:00,0.63
91.1,90.9486992024337,0.19,0.11,18.91,-7.57,-40.0,SL,UAL,2025-11-04 19:00:00+00:00,0.63
90.92,90.99418965601292,0.19,0.22,18.55,3.71,20.0,TP,UAL,2025-11-04 19:15:00+00:00,0.62
90.98,91.0514053666642,0.18,0.21,17.85,3.57,20.0,TP,UAL,2025-11-04 19:45:00+00:00,0.6
93.82,93.67750997522616,0.18,0.11,17.81,-7.12,-40.0,SL,UAL,2025-11-11 16:30:00+00:00,0.59
95.31,95.38389856783898,0.18,0.22,18.47,3.69,20.0,TP,UAL,2025-11-14 14:45:00+00:00,0.62
86.515,86.1092237109976,0.51,0.3,50.72,-20.29,-40.0,SL,EBAY,2025-10-30 14:00:00+00:00,1.69
86.65,86.84863899132255,0.5,0.6,49.66,9.93,20.0,TP,EBAY,2025-10-30 14:15:00+00:00,1.66
86.47,86.07624187325813,0.49,0.3,49.22,-19.69,-40.0,SL,EBAY,2025-10-30 14:30:00+00:00,1.64
85.675,85.28853888231112,0.48,0.29,48.31,-19.32,-40.0,SL,EBAY,2025-10-30 14:45:00+00:00,1.61
